franchise_id,tbl_dt,commission_amount,name
2.51E+11,4/20/2023,246861,CITY COM LTD
2.51E+11,4/20/2023,192984,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/20/2023,247253,Barthazal
2.51E+11,4/20/2023,133598,NYUNGWE CELLULAR LTD
2.51E+11,4/20/2023,62094,CITY COM LTD
2.51E+11,4/20/2023,356552,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,210219,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,155953,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,273600,CITY COM LTD
2.51E+11,4/20/2023,14654,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,145707,PHONECOM LTD
2.51E+11,4/21/2023,90361,Balthazar
2.51E+11,4/21/2023,6934,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,148083,PHONECOM LTD
2.51E+11,4/21/2023,256619,CITY COM LTD
2.51E+11,4/21/2023,181446,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/21/2023,226961,Barthazal
2.51E+11,4/21/2023,135971,NYUNGWE CELLULAR LTD
2.51E+11,4/21/2023,62417,CITY COM LTD
2.51E+11,4/21/2023,357266,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,211830,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,162509,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,279451,CITY COM LTD
2.51E+11,4/21/2023,15275,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,146494,PHONECOM LTD
2.51E+11,4/22/2023,99245,Balthazar
2.51E+11,4/22/2023,7799,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,162263,PHONECOM LTD
2.51E+11,4/22/2023,282159,CITY COM LTD
2.51E+11,4/22/2023,213621,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/22/2023,277965,Barthazal
2.51E+11,4/22/2023,176381,NYUNGWE CELLULAR LTD
2.51E+11,4/22/2023,67202,CITY COM LTD
2.51E+11,4/22/2023,394525,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,208286,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,185395,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,320012,CITY COM LTD
2.51E+11,4/22/2023,17297,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,169621,PHONECOM LTD
2.51E+11,4/23/2023,106196,Balthazar
2.51E+11,4/23/2023,5361,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,159962,PHONECOM LTD
2.51E+11,4/23/2023,288717,CITY COM LTD
2.51E+11,4/23/2023,227021,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/23/2023,291032,Barthazal
2.51E+11,4/23/2023,160359,NYUNGWE CELLULAR LTD
2.51E+11,4/23/2023,84686,CITY COM LTD
2.51E+11,4/23/2023,440420,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,282850,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,198148,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,343107,CITY COM LTD
2.51E+11,4/23/2023,20758,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,193647,PHONECOM LTD
2.51E+11,4/24/2023,107401,Balthazar
2.51E+11,4/24/2023,1922,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,245522,PHONECOM LTD
2.51E+11,4/24/2023,346150,CITY COM LTD
2.51E+11,4/24/2023,286015,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/24/2023,296109,Barthazal
2.51E+11,4/24/2023,170371,NYUNGWE CELLULAR LTD
2.51E+11,4/24/2023,77430,CITY COM LTD
2.51E+11,4/24/2023,471758,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,289195,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,225148,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,355862,CITY COM LTD
2.51E+11,4/24/2023,19060,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,194943,PHONECOM LTD
2.51E+11,4/25/2023,182446,PHONECOM LTD
2.51E+11,4/25/2023,206335,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,323253,CITY COM LTD
2.51E+11,4/25/2023,334142,CITY COM LTD
2.51E+11,4/25/2023,432884,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,292575,Barthazal
2.51E+11,4/25/2023,223034,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/25/2023,282765,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,183343,PHONECOM LTD
2.51E+11,4/25/2023,80262,CITY COM LTD
2.51E+11,4/25/2023,166267,NYUNGWE CELLULAR LTD
2.51E+11,4/25/2023,104519,Balthazar
2.51E+11,4/25/2023,17015,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,1162,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,187212,PHONECOM LTD
2.51E+11,4/26/2023,216670,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,14908,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,188424,NYUNGWE CELLULAR LTD
2.51E+11,4/26/2023,454315,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,385494,CITY COM LTD
2.51E+11,4/26/2023,320286,Barthazal
2.51E+11,4/26/2023,200581,PHONECOM LTD
2.51E+11,4/26/2023,345538,CITY COM LTD
2.51E+11,4/26/2023,281143,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,109637,Balthazar
2.51E+11,4/26/2023,239861,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/26/2023,85866,CITY COM LTD
2.51E+11,4/26/2023,788,ESCALE FRANCHISEE LTD
2.51E+11,4/27/2023,205738,ESCALE FRANCHISEE LTD
