franchise_id,tbl_dt,sell_amount,name
2.51E+11,4/18/2023,708949,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,7271408,PHONECOM LTD
2.51E+11,4/19/2023,3834800,Balthazar
2.51E+11,4/19/2023,306710,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,6727930,PHONECOM LTD
2.51E+11,4/19/2023,13185725,CITY COM LTD
2.51E+11,4/19/2023,9549997,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/19/2023,11799524,Barthazal
2.51E+11,4/19/2023,6809868,NYUNGWE CELLULAR LTD
2.51E+11,4/19/2023,3141904,CITY COM LTD
2.51E+11,4/19/2023,17035821,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,10058253,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,7439265,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,13440453,CITY COM LTD
2.51E+11,4/19/2023,716972,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,7249667,PHONECOM LTD
2.51E+11,4/20/2023,3821398,Balthazar
2.51E+11,4/20/2023,289333,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,7154615,PHONECOM LTD
2.51E+11,4/20/2023,11980115,CITY COM LTD
2.51E+11,4/20/2023,9386068,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/20/2023,12036545,Barthazal
2.51E+11,4/20/2023,6499900,NYUNGWE CELLULAR LTD
2.51E+11,4/20/2023,3029150,CITY COM LTD
2.51E+11,4/20/2023,17371196,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,10270395,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,7575705,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,13335867,CITY COM LTD
2.51E+11,4/20/2023,714107,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,7116961,PHONECOM LTD
2.51E+11,4/21/2023,4410238,Balthazar
2.51E+11,4/21/2023,338475,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,7181760,PHONECOM LTD
2.51E+11,4/21/2023,12456575,CITY COM LTD
2.51E+11,4/21/2023,8848501,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/21/2023,11085330,Barthazal
2.51E+11,4/21/2023,6621230,NYUNGWE CELLULAR LTD
2.51E+11,4/21/2023,3052165,CITY COM LTD
2.51E+11,4/21/2023,17411992,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,10364057,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,7895887,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,13632940,CITY COM LTD
2.51E+11,4/21/2023,746051,ESCALE FRANCHISEE LTD
2.51E+11,4/21/2023,7161660,PHONECOM LTD
2.51E+11,4/22/2023,4849340,Balthazar
2.51E+11,4/22/2023,380320,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,7869875,PHONECOM LTD
2.51E+11,4/22/2023,13722498,CITY COM LTD
2.51E+11,4/22/2023,10427314,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/22/2023,13574812,Barthazal
2.51E+11,4/22/2023,8590414,NYUNGWE CELLULAR LTD
2.51E+11,4/22/2023,3283310,CITY COM LTD
2.51E+11,4/22/2023,19242185,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,10182023,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,9001039,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,15602101,CITY COM LTD
2.51E+11,4/22/2023,845502,ESCALE FRANCHISEE LTD
2.51E+11,4/22/2023,8291692,PHONECOM LTD
2.51E+11,4/23/2023,5193652,Balthazar
2.51E+11,4/23/2023,262308,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,7773641,PHONECOM LTD
2.51E+11,4/23/2023,14052002,CITY COM LTD
2.51E+11,4/23/2023,11097871,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/23/2023,14233026,Barthazal
2.51E+11,4/23/2023,7822019,NYUNGWE CELLULAR LTD
2.51E+11,4/23/2023,4141075,CITY COM LTD
2.51E+11,4/23/2023,21493423,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,13843750,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,9643335,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,16743564,CITY COM LTD
2.51E+11,4/23/2023,1016720,ESCALE FRANCHISEE LTD
2.51E+11,4/23/2023,9470152,PHONECOM LTD
2.51E+11,4/24/2023,5240265,Balthazar
2.51E+11,4/24/2023,94220,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,11829322,PHONECOM LTD
2.51E+11,4/24/2023,16783709,CITY COM LTD
2.51E+11,4/24/2023,13863448,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/24/2023,14453526,Barthazal
2.51E+11,4/24/2023,8284319,NYUNGWE CELLULAR LTD
2.51E+11,4/24/2023,3777098,CITY COM LTD
2.51E+11,4/24/2023,22987812,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,14128923,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,10926551,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,17340617,CITY COM LTD
2.51E+11,4/24/2023,931719,ESCALE FRANCHISEE LTD
2.51E+11,4/24/2023,9514238,PHONECOM LTD
2.51E+11,4/25/2023,8841206,PHONECOM LTD
2.51E+11,4/25/2023,10021178,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,15676831,CITY COM LTD
2.51E+11,4/25/2023,16309675,CITY COM LTD
2.51E+11,4/25/2023,21086023,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,14265307,Barthazal
2.51E+11,4/25/2023,10864370,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/25/2023,13803345,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,8961999,PHONECOM LTD
2.51E+11,4/25/2023,3917942,CITY COM LTD
2.51E+11,4/25/2023,8083525,NYUNGWE CELLULAR LTD
2.51E+11,4/25/2023,5090958,Balthazar
2.51E+11,4/25/2023,832763,ESCALE FRANCHISEE LTD
2.51E+11,4/25/2023,56900,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,9153451,PHONECOM LTD
2.51E+11,4/26/2023,10520416,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,728336,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,9162291,NYUNGWE CELLULAR LTD
2.51E+11,4/26/2023,22152638,ESCALE FRANCHISEE LTD
2.51E+11,4/26/2023,18757899,CITY COM LTD
2.51E+11,4/26/2023,15617362,Barthazal
2.51E+11,4/26/2023,9708075,PHONECOM LTD
2.51E+11,4/26/2023,16747459,CITY COM LTD
2.51E+11,4/26/2023,13736751,ESCALE FRANCHISEE LTD
